party,valid_votes,vote_percent,year
Conservative Party of Canada,6239227,34.3,2019
Liberal Party of Canada,6018728,33.1,2019
New Democratic Party,2903722,16.0,2019
Bloc Québécois,1387030,7.6,2019
Green Party of Canada,1189607,6.5,2019
People's Party of Canada,294092,1.6,2019
Independent,72546,0.4,2019
Christian Heritage Party of Canada,18901,0.1,2019
Parti Rhinocéros Party,9538,0.1,2019
Animal Protection Party of Canada,4408,0.0,2019
Canada's Fourth Front,682,0.0,2019
Communist Party of Canada,3905,0.0,2019
Canadian Nationalist Party,281,0.0,2019
Marijuana Party,920,0.0,2019
Libertarian Party of Canada,8367,0.0,2019
Parti pour l'Indépendance du Québec,3815,0.0,2019
National Citizens Alliance of Canada,510,0.0,2019
Marxist-Leninist Party of Canada,4124,0.0,2019
Progressive Canadian Party,1534,0.0,2019
Stop Climate Change,296,0.0,2019
The United Party of Canada,602,0.0,2019
Veterans Coalition Party of Canada,6300,0.0,2019
No Affiliation,1745,0.0,2019
